Time,Time,1 minute,0.000694444,1 hour,0.041666667,,,,,,,,,,
41559.01042,10/12/2013 0:15,,,,,0,,,,,,,,,
41559.01111,10/12/2013 0:16,,,,,1,,,,,,,,,
41559.0125,10/12/2013 0:18,,,,,2,,,,,,,,,
41559.0125,10/12/2013 0:18,,,,,3,,,,,,,,,0
41559.01944,10/12/2013 0:28,,,,,4,,,,,,,,,
41559.01944,10/12/2013 0:28,,,,,5,,,,,,,,,
41559.02153,10/12/2013 0:31,,,,,6,,,,,,,,,
41559.02431,10/12/2013 0:35,,,,,7,,,,,,,,,
41559.03056,10/12/2013 0:44,,,,,8,,,,,,,,,
41559.03194,10/12/2013 0:46,,,,,9,,,,,,,,,
41559.03542,10/12/2013 0:51,,,,,10,,,,,,,,,
41559.03611,10/12/2013 0:52,,,,,11,,,,,,,,,
41559.0375,10/12/2013 0:54,,,,,12,,,,,,,,,
41559.03889,10/12/2013 0:56,,,,,13,,,,,,,,,
41559.04028,10/12/2013 0:58,,,,,14,,,,,,,,,
41559.04306,10/12/2013 1:02,,,,,15,,,,,,,,,
41559.04722,10/12/2013 1:08,,,,,16,,,,,,,,,
41559.05347,10/12/2013 1:17,,,,,17,,,,,,,,,
41559.05486,10/12/2013 1:19,,,,,18,,,,,,,,,
41559.06042,10/12/2013 1:27,,,,,19,,,,,,,,,
41559.06181,10/12/2013 1:29,,,,,20,,,,,,,,,
41559.06736,10/12/2013 1:37,,,,,21,,,,,,,,,
41559.06806,10/12/2013 1:38,,,,,22,,,,,,,,,
41559.06944,10/12/2013 1:40,,,,,23,,,,,,,,,
41559.07292,10/12/2013 1:45,,,,,24,,,,,,,,,
41559.075,10/12/2013 1:48,,,,,25,,,,,,,,,
41559.07639,10/12/2013 1:50,,,,,26,,,,,,,,,
41559.07917,10/12/2013 1:54,,,,,27,,,,,,,,,
41559.07986,10/12/2013 1:55,,,,,28,,,,,,,,,
41559.07986,10/12/2013 1:55,,,,,29,,,,,,,,,
41559.08194,10/12/2013 1:58,,,,,30,,,,,,,,,
41559.08194,10/12/2013 1:58,,,,,31,,,,,,,,,
41559.08264,10/12/2013 1:59,,,,,32,,,,,,,,,
41559.08403,10/12/2013 2:01,,,,,33,,,,,,,,,
41559.08542,10/12/2013 2:03,,,,,34,,,,,,,,,
41559.08542,10/12/2013 2:03,,,,,35,,,,,,,,,
41559.08819,10/12/2013 2:07,,,,,36,,,,,,,,,
41559.08889,10/12/2013 2:08,,,,,37,,,,,,,,,
41559.09028,10/12/2013 2:10,,,,,38,,,,,,,,,
41559.09028,10/12/2013 2:10,,,,,39,,,,,,,,,
41559.09167,10/12/2013 2:12,,,,,40,,,,,,,,,
41559.09167,10/12/2013 2:12,,,,,41,,,,,,,,,
41559.09167,10/12/2013 2:12,,,,,42,,,,,,,,,
41559.09236,10/12/2013 2:13,,,,,43,,,,,,,,,
41559.09236,10/12/2013 2:13,,,,,44,,,,,,,,,
41559.09236,10/12/2013 2:13,,,,,45,,,,,,,,,
